,sentence_id,token_id,semiotic,before,after
5008,251,47,CARDINAL,2,tvö
5009,251,48,PUNCT,.,.
5912,303,0,PLAIN,Heimamenn,Heimamenn
5913,303,1,PLAIN,úr,úr
5914,303,2,PLAIN,Garðinum,Garðinum
5915,303,3,PLAIN,lentu,lentu
5916,303,4,SPORT,0-2,núll tvö
5917,303,5,PLAIN,undir,undir
5918,303,6,PLAIN,snemma,snemma
5919,303,7,PLAIN,í,í
5920,303,8,PLAIN,leiknum,leiknum
5921,303,9,PLAIN,en,en
5922,303,10,PLAIN,Eiríkur,Eiríkur
5923,303,11,PLAIN,Viljar,Viljar
5924,303,12,PLAIN,Kúld,Kúld
5925,303,13,PLAIN,minnkaði,minnkaði
5926,303,14,PLAIN,muninn,muninn
5927,303,15,PUNCT,.,.
6674,343,0,PLAIN,Ljósmyndari,Ljósmyndari
6675,343,1,PLAIN,Morgunblaðsins,Morgunblaðsins
6676,343,2,PLAIN,náði,náði
6677,343,3,PLAIN,atvikinu,atvikinu
6678,343,4,PLAIN,greinilega,greinilega
6679,343,5,PLAIN,á,á
6680,343,6,PLAIN,mynd,mynd
6681,343,7,PUNCT,",",","
6682,343,8,PLAIN,en,en
6683,343,9,PLAIN,þetta,þetta
6684,343,10,PLAIN,atvik,atvik
6685,343,11,PLAIN,reyndist,reyndist
6686,343,12,PLAIN,vera,vera
6687,343,13,PLAIN,vendipunkturinn,vendipunkturinn
6688,343,14,PLAIN,í,í
6689,343,15,PLAIN,leiknum,leiknum
6690,343,16,PUNCT,",",","
6691,343,17,PLAIN,sem,sem
6692,343,18,PLAIN,Keflvík,Keflvík
6693,343,19,PLAIN,tapaði,tapaði
6694,343,20,SPORT,1-2,eitt tvö
6695,343,21,PLAIN,og,og
6696,343,22,PLAIN,varð,varð
6697,343,23,PLAIN,í,í
6698,343,24,PLAIN,kjölfarið,kjölfarið
6699,343,25,PLAIN,af,af
6700,343,26,PLAIN,Íslandsmeistaratitlinum,Íslandsmeistaratitlinum
6701,343,27,PUNCT,.,.
6814,351,0,PLAIN,Keflvíkingar,Keflvíkingar
6815,351,1,PLAIN,litu,litu
6816,351,2,PLAIN,út,út
6817,351,3,PLAIN,eins,eins
6818,351,4,PLAIN,og,og
6819,351,5,PLAIN,byrjendur,byrjendur
6820,351,6,PLAIN,í,í
6821,351,7,PLAIN,knattspyrnu,knattspyrnu
6822,351,8,PLAIN,og,og
6823,351,9,PLAIN,skyndilega,skyndilega
6824,351,10,PLAIN,var,var
6825,351,11,PLAIN,staðan,staðan
6826,351,12,PLAIN,orðin,orðin
6827,351,13,SPORT,7-1,sjö eitt
6828,351,14,PUNCT,.,.
8072,415,0,PLAIN,Kýpverjar,Kýpverjar
8073,415,1,PLAIN,bættu,bættu
8074,415,2,PLAIN,við,við
8075,415,3,CARDINAL,2,tveimur
8076,415,4,PLAIN,mörkum,mörkum
8077,415,5,PLAIN,undir,undir
8078,415,6,PLAIN,lokin,lokin
8079,415,7,PLAIN,og,og
8080,415,8,PLAIN,lokastaðan,lokastaðan
8081,415,9,SPORT,11-6,ellefu sex
8082,415,10,PUNCT,.,.
8247,424,0,PLAIN,Hörður,Hörður
8248,424,1,PLAIN,Axel,Axel
8249,424,2,PLAIN,Vilhjálmsson,Vilhjálmsson
8250,424,3,PLAIN,heimabruggaður,heimabruggaður
8251,424,4,PLAIN,í,í
8252,424,5,PLAIN,Dalhúsum,Dalhúsum
8253,424,6,PLAIN,kom,kom
8254,424,7,PLAIN,Keflavík,Keflavík
8255,424,8,PLAIN,í,í
8256,424,9,SPORT,60-72,sextíu sjötíu og tvö
8257,424,10,PLAIN,með,með
8258,424,11,CARDINAL,3,þriggja
8259,424,12,PLAIN,stiga,stiga
8260,424,13,PLAIN,körfu,körfu
8261,424,14,PLAIN,og,og
8262,424,15,PLAIN,Keflvíkingar,Keflvíkingar
8263,424,16,PLAIN,slúttuðu,slúttuðu
8264,424,17,PLAIN,vel,vel
8265,424,18,PLAIN,og,og
8266,424,19,PLAIN,leiddu,leiddu
8267,424,20,SPORT,67-81,sextíu og sjö áttatíu og eitt
8268,424,21,PLAIN,fyrir,fyrir
8269,424,22,ORDINAL,4.,fjórða
8270,424,23,PLAIN,og,og
8271,424,24,PLAIN,síðasta,síðasta
8272,424,25,PLAIN,leikhluta,leikhluta
8273,424,26,PLAIN,sem,sem
8274,424,27,PLAIN,þýðir,þýðir
8275,424,28,PLAIN,að,að
8276,424,29,PLAIN,þeir,þeir
8277,424,30,PLAIN,unnu,unnu
8278,424,31,PLAIN,þann,þann
8279,424,32,PLAIN,þriðja,þriðja
8280,424,33,SPORT,18-36,átján þrjátíu og sex
8281,424,34,PUNCT,",",","
8282,424,35,PLAIN,magnaður,magnaður
8283,424,36,PLAIN,leikhluti,leikhluti
8284,424,37,PLAIN,hjá,hjá
8285,424,38,PLAIN,gestunum,gestunum
8286,424,39,PUNCT,.,.
8618,442,0,PLAIN,Lokatölur,Lokatölur
8619,442,1,PLAIN,urðu,urðu
8620,442,2,SPORT,76-60,sjötíu og sex sextíu
8621,442,3,PLAIN,fyrir,fyrir
8622,442,4,PLAIN,Vesturbæjarliðið,Vesturbæjarliðið
8623,442,5,PLAIN,og,og
8624,442,6,PLAIN,Jón,Jón
8625,442,7,LETTERS,H.,H
8626,442,8,PLAIN,Eðvaldsson,Eðvaldsson
8627,442,9,PUNCT,",",","
8628,442,10,PLAIN,þjálfari,þjálfari
8629,442,11,PLAIN,Keflavíkur,Keflavíkur
8630,442,12,PLAIN,sagði,sagði
8631,442,13,PLAIN,að,að
8632,442,14,PLAIN,stelpurnar,stelpurnar
8633,442,15,PLAIN,hefðu,hefðu
8634,442,16,PLAIN,klikkað,klikkað
8635,442,17,PLAIN,á,á
8636,442,18,PLAIN,andlegu,andlegu
8637,442,19,PLAIN,hliðinnni,hliðinnni
8638,442,20,PUNCT,",",","
8639,442,21,PLAIN,ekki,ekki
8640,442,22,PLAIN,líkamlegu,líkamlegu
8641,442,23,PUNCT,.,.
9122,471,0,PLAIN,Það,Það
9123,471,1,PLAIN,bar,bar
9124,471,2,PLAIN,árangur,árangur
9125,471,3,PLAIN,því,því
9126,471,4,PLAIN,Stólarnir,Stólarnir
9127,471,5,PLAIN,minnkuðu,minnkuðu
9128,471,6,PLAIN,muninn,muninn
9129,471,7,PLAIN,í,í
9130,471,8,SPORT,16 - 19,sextán nítján
9131,471,9,PLAIN,þegar,þegar
9132,471,10,DECIMAL,"1,5",ein komma fimm
9133,471,11,PLAIN,mínúta,mínúta
9134,471,12,PLAIN,var,var
9135,471,13,PLAIN,eftir,eftir
9136,471,14,PUNCT,.,.
10302,534,0,PLAIN,Íslandsmeistarar,Íslandsmeistarar
10303,534,1,PLAIN,Keflavíkur,Keflavíkur
10304,534,2,PLAIN,gerðu,gerðu
10305,534,3,PLAIN,góða,góða
10306,534,4,PLAIN,ferð,ferð
10307,534,5,PLAIN,til,til
10308,534,6,PLAIN,Stykkishólms,Stykkishólms
10309,534,7,PLAIN,í,í
10310,534,8,PLAIN,gær,gær
10311,534,9,PLAIN,er,er
10312,534,10,PLAIN,þeir,þeir
10313,534,11,PLAIN,unnu,unnu
10314,534,12,PLAIN,Snæfell,Snæfell
10315,534,13,SPORT,67:62,sextíu og sjö sextíu og tvö
10316,534,14,PUNCT,.,.
10537,546,0,PLAIN,Við,Við
10538,546,1,PLAIN,fáum,fáum
10539,546,2,PLAIN,margar,margar
10540,546,3,PLAIN,sóknir,sóknir
10541,546,4,PLAIN,í,í
10542,546,5,PLAIN,hverjum,hverjum
10543,546,6,PLAIN,leik,leik
10544,546,7,PLAIN,og,og
10545,546,8,PLAIN,náum,náum
10546,546,9,PLAIN,því,því
10547,546,10,PLAIN,stundum,stundum
10548,546,11,PLAIN,að,að
10549,546,12,PLAIN,opna,opna
10550,546,13,PLAIN,varnir,varnir
10551,546,14,PLAIN,andstæðingsins,andstæðingsins
10552,546,15,PUNCT,",",","
10553,546,16,PUNCT,“,“
10554,546,17,PLAIN,sagði,sagði
10555,546,18,PLAIN,Guðmundur,Guðmundur
10556,546,19,PLAIN,sem,sem
10557,546,20,PLAIN,var,var
10558,546,21,PLAIN,ánægður,ánægður
10559,546,22,PLAIN,með,með
10560,546,23,PLAIN,Grindvíking,Grindvíking
10561,546,24,PLAIN,í,í
10562,546,25,PLAIN,gærkvöldi,gærkvöldi
10563,546,26,PLAIN,en,en
10564,546,27,PLAIN,þeir,þeir
10565,546,28,PLAIN,unnu,unnu
10566,546,29,LETTERS,FH,F H
10567,546,30,PUNCT,",",","
10568,546,31,SPORT,0-1,núll eitt
10569,546,32,PLAIN,á,á
10570,546,33,PLAIN,Kaplakrikavelli,Kaplakrikavelli
10571,546,34,PUNCT,.,.
10697,552,0,PLAIN,Valur,Valur
10698,552,1,PLAIN,Orri,Orri
10699,552,2,PLAIN,og,og
10700,552,3,PLAIN,Charlie,Charlie
10701,552,4,PLAIN,Parker,Parker
10702,552,5,PLAIN,skora,skora
10703,552,6,PLAIN,fyrstu,fyrstu
10704,552,7,PLAIN,körfur,körfur
10705,552,8,PLAIN,Keflvíkingar,Keflvíkingar
10706,552,9,PLAIN,en,en
10707,552,10,PLAIN,þeir,þeir
10708,552,11,PLAIN,leiða,leiða
10709,552,12,SPORT,2-4,tvö fjögur
10710,552,13,PLAIN,eftir,eftir
10711,552,14,PLAIN,rúmar,rúmar
10712,552,15,CARDINAL,2,tvær
10713,552,16,PLAIN,mínútur,mínútur
10714,552,17,PUNCT,.,.
11050,572,0,PLAIN,Fyrri,Fyrri
11051,572,1,PLAIN,hálfleikur,hálfleikur
11052,572,2,PLAIN,var,var
11053,572,3,PLAIN,sérstaklega,sérstaklega
11054,572,4,PLAIN,fínn,fínn
11055,572,5,PLAIN,af,af
11056,572,6,PLAIN,okkar,okkar
11057,572,7,PLAIN,hálfu,hálfu
11058,572,8,PLAIN,og,og
11059,572,9,PLAIN,dapurt,dapurt
11060,572,10,PLAIN,að,að
11061,572,11,PLAIN,fara,fara
11062,572,12,PLAIN,ekki,ekki
11063,572,13,PLAIN,með,með
11064,572,14,SPORT,1-0,eitt núll
11065,572,15,PLAIN,eða,eða
11066,572,16,PLAIN,jafnvel,jafnvel
11067,572,17,SPORT,2-0,tvö núll
11068,572,18,PLAIN,í,í
11069,572,19,PLAIN,hálfleik,hálfleik
11070,572,20,PUNCT,",",","
11071,572,21,PUNCT,“,“
11072,572,22,PLAIN,sagði,sagði
11073,572,23,PLAIN,Haraldur,Haraldur
11074,572,24,PLAIN,Guðmundsson,Guðmundsson
11075,572,25,PLAIN,fyrirliði,fyrirliði
11076,572,26,PLAIN,Keflvíkinga,Keflvíkinga
11077,572,27,PLAIN,í,í
11078,572,28,PLAIN,samtali,samtali
11079,572,29,PLAIN,við,við
11080,572,30,LETTERS,VF,V F
11081,572,31,PUNCT,.,.
12086,623,0,PLAIN,Í,Í
12087,623,1,PLAIN,hálfleik,hálfleik
12088,623,2,PLAIN,var,var
12089,623,3,PLAIN,staðan,staðan
12090,623,4,SPORT,50-35,fimmtíu þrjátíu og fimm
12091,623,5,PUNCT,.,.
12464,643,0,PLAIN,Lokatölur,Lokatölur
12465,643,1,SPORT,1-4,eitt fjögur
12466,643,2,PLAIN,og,og
12467,643,3,PLAIN,Keflavík,Keflavík
12468,643,4,PLAIN,á,á
12469,643,5,PLAIN,að,að
12470,643,6,PLAIN,gera,gera
12471,643,7,PLAIN,mun,mun
12472,643,8,PLAIN,betur,betur
12473,643,9,PLAIN,á,á
12474,643,10,PLAIN,móti,móti
12475,643,11,PLAIN,svona,svona
12476,643,12,PLAIN,andstæðingum,andstæðingum
12477,643,13,PUNCT,.,.
12478,644,0,PLAIN,Lokatölur,Lokatölur
12479,644,1,PLAIN,urðu,urðu
12480,644,2,SPORT,105-70,hundrað og fimm sjötíu
12481,644,3,PLAIN,fyrir,fyrir
12482,644,4,PLAIN,Keflavík,Keflavík
12483,644,5,PUNCT,.,.
13787,713,0,LETTERS,KR,K R
13788,713,1,PLAIN,-ingar,-ingar
13789,713,2,PLAIN,höfði,höfði
13790,713,3,SPORT,3-2,þrjú tvö
13791,713,4,PLAIN,sigur,sigur
13792,713,5,PLAIN,í,í
13793,713,6,PLAIN,fjörugum,fjörugum
13794,713,7,PLAIN,leik,leik
13795,713,8,PLAIN,þar,þar
13796,713,9,PLAIN,sem,sem
13797,713,10,PLAIN,Keflvíkingar,Keflvíkingar
13798,713,11,PLAIN,voru,voru
13799,713,12,PLAIN,í,í
13800,713,13,PLAIN,raun,raun
13801,713,14,PLAIN,óheppnir,óheppnir
13802,713,15,PLAIN,að,að
13803,713,16,PLAIN,ná,ná
13804,713,17,PLAIN,ekki,ekki
13805,713,18,PLAIN,að,að
13806,713,19,PLAIN,jafna,jafna
13807,713,20,PLAIN,í,í
13808,713,21,PLAIN,lokin,lokin
13809,713,22,PUNCT,.,.
14299,742,0,PLAIN,Jón,Jón
14300,742,1,PLAIN,Haukur,Haukur
14301,742,2,PLAIN,hugðist,hugðist
14302,742,3,PLAIN,senda,senda
14303,742,4,PLAIN,boltann,boltann
14304,742,5,PLAIN,inn,inn
14305,742,6,PLAIN,í,í
14306,742,7,PLAIN,teig,teig
14307,742,8,PLAIN,en,en
14308,742,9,PLAIN,markvörður,markvörður
14309,742,10,PLAIN,gestanna,gestanna
14310,742,11,PLAIN,misreiknaði,misreiknaði
14311,742,12,PLAIN,sendinguna,sendinguna
14312,742,13,PLAIN,og,og
14313,742,14,PLAIN,missti,missti
14314,742,15,PLAIN,boltann,boltann
14315,742,16,PLAIN,yfir,yfir
14316,742,17,PLAIN,sig,sig
14317,742,18,PLAIN,og,og
14318,742,19,PLAIN,í,í
14319,742,20,PLAIN,netið,netið
14320,742,21,PLAIN,og,og
14321,742,22,PLAIN,staðan,staðan
14322,742,23,PLAIN,orðin,orðin
14323,742,24,SPORT,1-2,eitt tvö
14324,742,25,PLAIN,og,og
14325,742,26,PLAIN,mikið,mikið
14326,742,27,PLAIN,kapp,kapp
14327,742,28,PLAIN,hlaupið,hlaupið
14328,742,29,PLAIN,í,í
14329,742,30,PLAIN,Njarðvíkinga,Njarðvíkinga
14330,742,31,PUNCT,.,.
15125,787,0,PLAIN,Njarðvík,Njarðvík
15126,787,1,PUNCT,-,-
15127,787,2,LETTERS,KR,K R
15128,787,3,SPORT,76-86,sjötíu og sex áttatíu og sex
15129,787,4,PUNCT,(,(
15130,787,5,SPORT,18-23,átján tuttugu og þrjú
15131,787,6,PUNCT,",",","
15132,787,7,SPORT,19-15,nítján fimmtán
15133,787,8,PUNCT,",",","
15134,787,9,SPORT,25-28,tuttugu og fimm tuttugu og átta
15135,787,10,PUNCT,",",","
15136,787,11,DATE,14-20,fjórtán tuttugu
15137,787,12,PUNCT,),)
16197,842,0,PLAIN,Stjörnumenn,Stjörnumenn
16198,842,1,PLAIN,leiða,leiða
16199,842,2,PLAIN,nú,nú
16200,842,3,SPORT,2-0,tvö núll
16201,842,4,PLAIN,í,í
16202,842,5,PLAIN,einvíginu,einvíginu
16203,842,6,PLAIN,eftir,eftir
16204,842,7,PLAIN,nokkuð,nokkuð
16205,842,8,PLAIN,öruggan,öruggan
16206,842,9,PLAIN,sigur,sigur
16207,842,10,PLAIN,í,í
16208,842,11,PLAIN,Garðabæ,Garðabæ
16209,842,12,PLAIN,í,í
16210,842,13,PLAIN,kvöld,kvöld
16211,842,14,PLAIN,þar,þar
16212,842,15,PLAIN,sem,sem
16213,842,16,PLAIN,lokatölur,lokatölur
16214,842,17,PLAIN,voru,voru
16215,842,18,SPORT,98-89,níutíu og átta áttatíu og níu
16216,842,19,PUNCT,.,.
16252,845,0,PLAIN,Skarphéðinn,Skarphéðinn
16253,845,1,PLAIN,Freyr,Freyr
16254,845,2,PLAIN,Ingason,Ingason
16255,845,3,PLAIN,skellti,skellti
16256,845,4,PLAIN,niður,niður
16257,845,5,PLAIN,stórum,stórum
16258,845,6,PLAIN,þrist,þrist
16259,845,7,PLAIN,og,og
16260,845,8,PLAIN,jafnaði,jafnaði
16261,845,9,PLAIN,metin,metin
16262,845,10,PLAIN,í,í
16263,845,11,SPORT,80-80,áttatíu áttatíu
16264,845,12,PLAIN,þegar,þegar
16265,845,13,PLAIN,tæpar,tæpar
16266,845,14,CARDINAL,3,þrjár
16267,845,15,PLAIN,mínútur,mínútur
16268,845,16,PLAIN,voru,voru
16269,845,17,PLAIN,til,til
16270,845,18,PLAIN,leiksloka,leiksloka
16271,845,19,PUNCT,.,.
17822,928,0,PLAIN,Stúlkurnar,Stúlkurnar
17823,928,1,PLAIN,í,í
17824,928,2,LETTERS,GRV,G R V
17825,928,3,PUNCT,",",","
17826,928,4,PLAIN,sameiginlegu,sameiginlegu
17827,928,5,PLAIN,liði,liði
17828,928,6,PLAIN,Grindavíkur,Grindavíkur
17829,928,7,PUNCT,",",","
17830,928,8,PLAIN,Reynis,Reynis
17831,928,9,PLAIN,og,og
17832,928,10,PLAIN,Víðis,Víðis
17833,928,11,PUNCT,",",","
17834,928,12,PLAIN,í,í
17835,928,13,PLAIN,úrvalsdeild,úrvalsdeild
17836,928,14,PLAIN,kvenna,kvenna
17837,928,15,PLAIN,í,í
17838,928,16,PLAIN,knattspyrnu,knattspyrnu
17839,928,17,PUNCT,",",","
17840,928,18,PLAIN,guldu,guldu
17841,928,19,PLAIN,afhroð,afhroð
17842,928,20,PLAIN,gegn,gegn
17843,928,21,PLAIN,öflugu,öflugu
17844,928,22,PLAIN,liði,liði
17845,928,23,PLAIN,Þórs,Þórs
17846,928,24,SYMB,/,skástrik
17847,928,25,LETTERS,KA,K A
17848,928,26,PLAIN,á,á
17849,928,27,PLAIN,Akureyri,Akureyri
17850,928,28,PLAIN,í,í
17851,928,29,PLAIN,gær,gær
17852,928,30,PUNCT,",",","
17853,928,31,SPORT,7-0,sjö núll
17854,928,32,PUNCT,.,.
18095,940,0,PLAIN,Sigurbergur,Sigurbergur
18096,940,1,PLAIN,Elísson,Elísson
18097,940,2,PLAIN,skoraði,skoraði
18098,940,3,PLAIN,fyrra,fyrra
18099,940,4,PLAIN,mark,mark
18100,940,5,PLAIN,Keflvíkinga,Keflvíkinga
18101,940,6,PLAIN,í,í
18102,940,7,SPORT,2-1,tvö eitt
18103,940,8,PLAIN,sigri,sigri
18104,940,9,PLAIN,þeirra,þeirra
18105,940,10,PLAIN,á,á
18106,940,11,PLAIN,Grindvíkingum,Grindvíkingum
18107,940,12,PLAIN,í,í
18108,940,13,PLAIN,gær,gær
18109,940,14,PLAIN,í,í
18110,940,15,PLAIN,Pepsi-deild,Pepsi-deild
18111,940,16,PLAIN,karla,karla
18112,940,17,PLAIN,í,í
18113,940,18,PLAIN,fótbolta,fótbolta
18114,940,19,PUNCT,.,.
19553,1015,0,PLAIN,En,En
19554,1015,1,PLAIN,þrátt,þrátt
19555,1015,2,PLAIN,fyrir,fyrir
19556,1015,3,PLAIN,mikinn,mikinn
19557,1015,4,PLAIN,baráttuanda,baráttuanda
19558,1015,5,PLAIN,á,á
19559,1015,6,PLAIN,lokamínútunum,lokamínútunum
19560,1015,7,PLAIN,og,og
19561,1015,8,PLAIN,frábær,frábær
19562,1015,9,PLAIN,sóknartilþrif,sóknartilþrif
19563,1015,10,PLAIN,vildi,vildi
19564,1015,11,PLAIN,boltinn,boltinn
19565,1015,12,PLAIN,ekki,ekki
19566,1015,13,PLAIN,inn,inn
19567,1015,14,PLAIN,og,og
19568,1015,15,PLAIN,því,því
19569,1015,16,PLAIN,var,var
19570,1015,17,PLAIN,staðan,staðan
19571,1015,18,PLAIN,enn,enn
19572,1015,19,SPORT,2-3,tvö þrjú
19573,1015,20,PLAIN,þegar,þegar
19574,1015,21,PLAIN,dómarinn,dómarinn
19575,1015,22,PLAIN,flautaði,flautaði
19576,1015,23,PLAIN,til,til
19577,1015,24,PLAIN,leiksloka,leiksloka
19578,1015,25,PUNCT,.,.
19873,1033,0,PLAIN,Keflvíkingar,Keflvíkingar
19874,1033,1,PLAIN,lögðu,lögðu
19875,1033,2,PLAIN,grunn,grunn
19876,1033,3,PLAIN,að,að
19877,1033,4,PLAIN,sigrinum,sigrinum
19878,1033,5,PLAIN,með,með
19879,1033,6,PLAIN,frábærum,frábærum
19880,1033,7,PLAIN,fyrsta,fyrsta
19881,1033,8,PLAIN,leikhluta,leikhluta
19882,1033,9,PLAIN,þar,þar
19883,1033,10,PLAIN,sem,sem
19884,1033,11,PLAIN,þeir,þeir
19885,1033,12,PLAIN,náðu,náðu
19886,1033,13,CARDINAL,20,tuttugu
19887,1033,14,PLAIN,stiga,stiga
19888,1033,15,PLAIN,forystu,forystu
19889,1033,16,PUNCT,",",","
